factor,n_participants,pearson_r,pearson_ci_low,pearson_ci_high,spearman_rho,mae,rmse,r2
A,100,0.646730202816215,0.5091631029453909,0.7573565852914762,0.6445535785532079,1.005592101573944,1.2801006365759762,0.399671146042563
B,100,0.3405392825932186,0.1299311021077728,0.5241234376396606,0.2818694698691787,1.384357899188995,1.7018848146777834,0.114355454246932
C,100,0.65262426612732,0.5258639747267841,0.7556333047957434,0.6313257321398088,0.9386126537322996,1.1680892373191842,0.4203524081987707
E,100,0.6602986996148714,0.5207438914405647,0.7703710759562061,0.6477479001113978,0.9291807255744936,1.2609065749470791,0.4259512598408528
F,100,0.6765413135255696,0.5676117972248625,0.7651541555612763,0.6400285390928878,1.1359182953834532,1.4146979309300354,0.4336652888373402
G,100,0.6271948792260347,0.4864345509320318,0.7427882935560604,0.6190270008393816,1.0746405203342435,1.3646031042363724,0.3644567808561283
H,100,0.7751357955672399,0.6815841656898134,0.8466631308678026,0.7564597565488782,1.0413284673690797,1.2568878654280018,0.5827234987030405
I,100,0.5874875093436491,0.4437734661760447,0.7034378311167965,0.5527413400447619,1.2352350697517394,1.5413081578459782,0.3308082148049122
L,100,0.606295381639519,0.4728335785146544,0.715283302106515,0.5452080633221088,1.1743893470764162,1.3979161144375143,0.3524093773183726
M,100,0.5668329686413748,0.4207657419372031,0.6818582904669226,0.5330352124380494,0.9943689594268796,1.2660983804482897,0.3120149746893642
N,100,0.3844611693020257,0.2154050618484111,0.5417670285213487,0.3684242069955302,1.1830326471328736,1.4267909748910887,0.1450453630546121
O,100,0.6451280255213939,0.5159237124501638,0.7491687406512125,0.6294227301707299,1.3067715740203858,1.554161644784496,0.4032320152886349
Q1,100,0.5099548473234684,0.3833959427422468,0.6251548104332265,0.5185966576336171,1.3327619428634645,1.611972192322266,0.2549234842092469
Q2,100,0.7164333893774051,0.6150482359138025,0.8039548363468736,0.7294875487140522,1.180403697490692,1.4681346193558134,0.487719724170876
Q3,100,0.4850775737455696,0.3222197536359955,0.6315069252007921,0.4611921734043421,0.9571712856292725,1.2282453400019573,0.2332469554071036
Q4,100,0.6857516983383272,0.5802498089919819,0.7741980954255631,0.7015570642926465,0.9192623295783996,1.171838921916146,0.4551632840352341
