repeat,fold,selected_scale,outer_test_mae,questionnaire_mae
1,1,0.0,1.277259436249733,1.277259436249733
1,2,0.0,1.1797027826309203,1.1797027826309203
1,3,0.0,1.159902736544609,1.159902736544609
1,4,0.01,1.234201893210411,1.2341036319732666
1,5,0.0,1.2238922446966172,1.2238922446966172
2,1,0.0,1.289543119072914,1.289543119072914
2,2,0.0,0.996624207496643,0.996624207496643
2,3,0.0,1.213540005683899,1.213540005683899
2,4,0.025,1.2329821944236756,1.231035867333412
2,5,0.0,1.2139653116464615,1.2139653116464615
3,1,0.0,1.1536530137062073,1.1536530137062073
3,2,0.0,1.1313977539539337,1.1313977539539337
3,3,0.0,1.266117325425148,1.266117325425148
3,4,0.0,1.251960876584053,1.251960876584053
3,5,0.0,1.1740923374891281,1.1740923374891281
4,1,0.0,1.2300136297941209,1.2300136297941209
4,2,0.0,1.2186082482337952,1.2186082482337952
4,3,0.05,1.1847056448459625,1.182763585448265
4,4,0.0,1.2084032952785493,1.2084032952785493
4,5,0.0,1.2975826263427734,1.2975826263427734
5,1,0.0,1.2059375941753387,1.2059375941753387
5,2,0.025,1.1505911141633987,1.1491178154945374
5,3,0.0,1.2750974893569946,1.2750974893569946
5,4,0.0,1.233240532875061,1.233240532875061
5,5,0.0,1.2533464074134826,1.2533464074134826
