scope,predictor,n_cells,residual_mae,residual_mse,direction_accuracy_abs_ge_025,balanced_accuracy_abs_ge_025,pearson_r,spearman_r
overall,zero,1600,1.1049397493600845,1.9172889872608578,,,,
overall,tinycnn,1600,1.2219347549806117,2.375813836063894,0.4865844815083394,0.4867037724180582,-0.04993620743972153,-0.03267848542128337
overall,morph_ridge,1600,1.1407100188422818,2.061384916098656,0.4887599709934735,0.4889418971051624,-0.03729461886877571,-0.03482534661146352
A,zero,100,0.977763042449951,1.555894748165797,,,,
A,tinycnn,100,1.1335948182279245,2.032089702375005,0.4268292682926829,0.43069908814589664,-0.28325585034340733,-0.25700570057005695
A,morph_ridge,100,1.0296437952295359,1.6760701330885885,0.4146341463414634,0.4310030395136778,-0.05526512862016968,-0.11429942994299429
B,zero,100,1.3227837514877323,2.660582414964998,,,,
B,tinycnn,100,1.4873844658117739,3.3825362061137922,0.45652173913043476,0.4456573327005221,-0.2014580148238907,-0.18769876987698766
B,morph_ridge,100,1.3558622168011059,3.055178113745632,0.5543478260869565,0.5431893687707641,-0.14003352569221494,-0.05713771377137713
C,zero,100,0.9505521283149718,1.4524400473716081,,,,
C,tinycnn,100,1.025808178730309,1.8078555726060452,0.5287356321839081,0.546474358974359,0.037412296734865756,0.09352535253525351
C,morph_ridge,100,0.9614639630560697,1.5511942107335128,0.5862068965517241,0.5841346153846154,0.017303813964170713,0.04046804680468046
E,zero,100,0.9366383805274962,1.5031043381182705,,,,
E,tinycnn,100,1.144557163702324,2.1000563832550965,0.38823529411764707,0.397450110864745,-0.1098960773598266,-0.0781158115811581
E,morph_ridge,100,1.0115593092108799,1.7050838212377804,0.4588235294117647,0.46147450110864746,-0.2024903826577469,-0.21177317731773174
F,zero,100,1.1218775715827942,1.9683086786265378,,,,
F,tinycnn,100,1.265963329983875,2.4695932777332197,0.4222222222222222,0.41762070681931307,-0.165862329404483,-0.1665406540654065
F,morph_ridge,100,1.1791099292849092,2.20990621907701,0.4444444444444444,0.4340467894474863,-0.19565287293709704,-0.19313531353135313
G,zero,100,1.1020605497360227,1.92446883093912,,,,
G,tinycnn,100,1.2005451517868788,2.5195871183672223,0.5617977528089888,0.5603535353535354,-0.004671818369372301,0.07704770477047705
G,morph_ridge,100,1.1602764595537844,2.1247788591634005,0.42696629213483145,0.4267676767676768,-0.25184117336867096,-0.26762676267626756
H,zero,100,1.025689024925232,1.506812326590676,,,,
H,tinycnn,100,1.0231101397355087,1.639496438340646,0.611764705882353,0.6146179401993355,0.13186246722969333,0.15187518751875184
H,morph_ridge,100,1.0320025386442324,1.514807730470966,0.5529411764705883,0.5545404208194906,0.1246154001518264,0.1349054905490549
I,zero,100,1.2621697473526,2.4565074013696853,,,,
I,tinycnn,100,1.3290661408100277,2.612440165967809,0.6144578313253012,0.6123693379790941,0.2184639060436942,0.29128112811281126
I,morph_ridge,100,1.3002558312070454,2.6259918059548477,0.5060240963855421,0.5040650406504065,-0.005504386021890031,-0.03087908790879088
L,zero,100,1.2183771438598634,2.1036487931319923,,,,
L,tinycnn,100,1.337548254544381,2.671313178493526,0.43956043956043955,0.44221470019342357,-0.2936804432206045,-0.26310231023102304
L,morph_ridge,100,1.2512943790496536,2.2524920369830506,0.45054945054945056,0.4521276595744681,-0.016122667105526255,-0.04242424242424242
M,zero,100,0.975069713115692,1.5808344284886413,,,,
M,tinycnn,100,1.0960220464351587,1.9033694789016806,0.40476190476190477,0.40341880341880343,-0.15901550360952355,-0.19606360636063602
M,morph_ridge,100,1.0175039675370712,1.6923521660179637,0.44047619047619047,0.4487179487179487,-0.08978225793775274,-0.11398739873987397
N,zero,100,1.1344808111190796,1.8754761271417328,,,,
N,tinycnn,100,1.2534567197393627,2.5845997195200074,0.5232558139534884,0.5357723577235772,0.012050838692453292,0.004296429642964296
N,morph_ridge,100,1.1904281799562906,2.053520156751476,0.4418604651162791,0.4384823848238482,-0.22429499585259402,-0.17746174617461744
O,zero,100,1.2854641728401186,2.434990909995376,,,,
O,tinycnn,100,1.3766227217204865,2.95090347208473,0.5517241379310345,0.5533826638477801,-0.04200007787543093,-0.01392139213921392
O,morph_ridge,100,1.3359931401625096,2.6697027554368082,0.47126436781609193,0.47066596194503174,-0.08273063151369858,-0.07836783678367835
Q1,zero,100,1.3016483902931213,2.5992163561891406,,,,
Q1,tinycnn,100,1.4295381591310727,3.067114558635021,0.46153846153846156,0.4345959595959596,-0.06749613212840266,-0.0651065106510651
Q1,morph_ridge,100,1.2398697621061852,2.6008853911255425,0.5714285714285714,0.5638888888888889,0.1297393316804606,0.16529252925292526
Q2,zero,100,1.1576767897605897,2.0737448913630105,,,,
Q2,tinycnn,100,1.1625404696236366,2.1128344043660277,0.5975609756097561,0.5952380952380952,0.16440189790416032,0.18549054905490547
Q2,morph_ridge,100,1.1839684677040632,2.0659108697014785,0.524390243902439,0.5214285714285715,0.15975237068999718,0.13668166816681668
Q3,zero,100,0.943044502735138,1.4705419547039056,,,,
Q3,tinycnn,100,1.1362450890932232,2.0919491712306466,0.36585365853658536,0.36585365853658536,-0.253740755155023,-0.31059105910591056
Q3,morph_ridge,100,0.9745031790850165,1.5700325341997305,0.5121951219512195,0.5121951219512195,-0.04023573792231362,-0.026258625862586257
Q4,zero,100,0.9637402696609497,1.5100515490132376,,,,
Q4,tinycnn,100,1.1489532306138426,2.0672825290318313,0.43373493975903615,0.43240093240093236,-0.15101076737407593,-0.16092409240924088
Q4,morph_ridge,100,1.0276251828881557,1.6142518538907038,0.4578313253012048,0.4594988344988345,-0.05287510793663923,-0.07199519951995198
