scope,predictor,n_observations,residual_mae,residual_mse,direction_accuracy_abs_ge_025,balanced_accuracy_abs_ge_025,pearson_r,spearman_rho
Overall,Zero residual,1600,1.1120642197579145,1.9345180869064944,,,,
Overall,TinyCNN,1600,1.227453702633182,2.364365811994265,0.48625180897250364,0.4860251536761857,-0.055045906731516325,-0.04821300711445591
A,Zero residual,100,1.005592101573944,1.6386576397622195,,,,
A,TinyCNN,100,1.1438881162237378,2.044507090831356,0.3902439024390244,0.40131578947368424,-0.14749880739572555,-0.22628262826282625
B,Zero residual,100,1.3843578991889953,2.896411922430833,,,,
B,TinyCNN,100,1.522702174107544,3.43042466407722,0.4835164835164835,0.48498062015503873,-0.17142377853377086,-0.16344434443444342
C,Zero residual,100,0.9386126537322997,1.3644324663409133,,,,
C,TinyCNN,100,1.0399499639365823,1.5760905310830138,0.5402298850574713,0.546659597030753,0.09496332286256357,0.09117311731173115
E,Zero residual,100,0.9291807255744935,1.5898853907447739,,,,
E,TinyCNN,100,1.067198443652596,2.0218635132398206,0.5466666666666666,0.5553571428571429,-0.012355946621244004,0.04922892289228922
F,Zero residual,100,1.1359182953834532,2.001370235777723,,,,
F,TinyCNN,100,1.2480421844208613,2.351331436636357,0.4827586206896552,0.48038176033934255,-0.029610021161347574,-0.010621062106210619
G,Zero residual,100,1.0746405203342437,1.862141632091544,,,,
G,TinyCNN,100,1.2101035472927615,2.4757093446469414,0.5465116279069767,0.5402173913043479,0.04882117822872679,0.07751575157515751
H,Zero residual,100,1.0413284673690797,1.5797671062601588,,,,
H,TinyCNN,100,1.131159267068375,1.8903915602014383,0.47126436781609193,0.4730443974630021,-0.07305333585697259,-0.08418841884188417
I,Zero residual,100,1.2352350697517394,2.3756308374425625,,,,
I,TinyCNN,100,1.438937851401977,3.027898506842435,0.46987951807228917,0.46689895470383275,-0.03464922262046702,-0.035007500750075
L,Zero residual,100,1.1743893470764162,1.9541694630040782,,,,
L,TinyCNN,100,1.2628187463106588,2.3878219967618772,0.4891304347826087,0.48770685579196216,-0.13816742938824336,-0.156039603960396
M,Zero residual,100,0.9943689594268796,1.6030051089737813,,,,
M,TinyCNN,100,1.0662738489033654,1.8272353014471963,0.4157303370786517,0.44051282051282054,-0.07165286364385338,-0.07375937593759374
N,Zero residual,100,1.1830326471328736,2.035732486030663,,,,
N,TinyCNN,100,1.3109878191449678,2.5743711073856357,0.47126436781609193,0.4734888653234358,-0.0923103060713558,-0.07559555955595558
O,Zero residual,100,1.3067715740203858,2.41541841811925,,,,
O,TinyCNN,100,1.3543921383060513,2.822326341301765,0.5333333333333333,0.5286561264822134,0.016747369356209886,0.025358535853585357
Q1,Zero residual,100,1.3327619428634643,2.598454348820252,,,,
Q1,TinyCNN,100,1.5347881163870911,3.2746561410678847,0.4065934065934066,0.41792929292929293,-0.19217863799654528,-0.15953195319531951
Q2,Zero residual,100,1.180403697490692,2.1554192605510387,,,,
Q2,TinyCNN,100,1.2409439217457547,2.4808602001313655,0.5393258426966292,0.5393939393939393,-0.00040554052085220167,0.04789678967896789
Q3,Zero residual,100,0.9571712856292723,1.5085866152365235,,,,
Q3,TinyCNN,100,1.108500061336905,2.0886174734104164,0.4642857142857143,0.46596710153148047,-0.19778676357250688,-0.14934293429342932
Q4,Zero residual,100,0.9192623295783996,1.3732064589175956,,,,
Q4,TinyCNN,100,0.9585730418916792,1.5557477828435222,0.5365853658536586,0.5390578413834228,0.03341955246288478,0.0586978697869787
