study_id,repeat,fold,role,seed
PUB-CBB1CA195546,1,1,train,1101
PUB-67C126EADCD7,1,1,test,1101
PUB-AB76135DF9CA,1,1,train,1101
PUB-D2F74CC997B7,1,1,train,1101
PUB-B18F405057BD,1,1,train,1101
PUB-7144C0C3740D,1,1,test,1101
PUB-B1D6B7AD04E8,1,1,train,1101
PUB-DF660348FD1F,1,1,train,1101
PUB-E94A6AB9D82C,1,1,test,1101
PUB-965E9C7134EE,1,1,train,1101
PUB-E352BD93648B,1,1,train,1101
PUB-6CFEE7C39CD0,1,1,train,1101
PUB-AFE69B3708B5,1,1,train,1101
PUB-E2ED1A9687A8,1,1,train,1101
PUB-767A0A64721C,1,1,train,1101
PUB-6697CC655EF0,1,1,train,1101
PUB-EC6103CF4E5D,1,1,train,1101
PUB-893C2162AACA,1,1,test,1101
PUB-F96DD130F433,1,1,train,1101
PUB-4E7F00040F89,1,1,test,1101
PUB-937A79E4882C,1,1,train,1101
PUB-7E9B923FA16C,1,1,train,1101
PUB-99F43A2D73B5,1,1,train,1101
PUB-33D059B371DB,1,1,train,1101
PUB-1AC3EE3C2C72,1,1,train,1101
PUB-811ED9A0464C,1,1,train,1101
PUB-17E5F94DFDB9,1,1,train,1101
PUB-346FE6EE1EBC,1,1,test,1101
PUB-B382B5151288,1,1,test,1101
PUB-7EA6455D87DE,1,1,train,1101
PUB-98B05095E26B,1,1,train,1101
PUB-912CB7F93C34,1,1,train,1101
PUB-776D30B081EF,1,1,train,1101
PUB-1A84FCCBB8FB,1,1,test,1101
PUB-C95058D69119,1,1,train,1101
PUB-9A25206456A5,1,1,test,1101
PUB-5B422CA2FD37,1,1,train,1101
PUB-DA64784182B4,1,1,train,1101
PUB-A552D958F16D,1,1,train,1101
PUB-63FEFC0E3530,1,1,train,1101
PUB-5B0FE2EA3077,1,1,train,1101
PUB-F1FE58694BF5,1,1,train,1101
PUB-6D54A9745F3E,1,1,train,1101
PUB-3BF60A19A235,1,1,train,1101
PUB-4748BE7838E8,1,1,train,1101
PUB-6D79E14F3764,1,1,train,1101
PUB-831563B3C3CC,1,1,train,1101
PUB-75C40A1012BC,1,1,train,1101
PUB-5D47C4F160B1,1,1,train,1101
PUB-1CF33341C088,1,1,train,1101
PUB-D9BABA1AC30F,1,1,train,1101
PUB-4E8DCEF517B4,1,1,train,1101
PUB-E785FC50FDE7,1,1,test,1101
PUB-1AFFD512AE16,1,1,train,1101
PUB-596681F0B1F2,1,1,train,1101
PUB-393DA233E0D2,1,1,train,1101
PUB-20F6B79262CC,1,1,test,1101
PUB-50F821FCE7C2,1,1,test,1101
PUB-97E07F682412,1,1,train,1101
PUB-EEE28E719BBF,1,1,train,1101
PUB-3BFA42775143,1,1,train,1101
PUB-A2424855687F,1,1,train,1101
PUB-2ACD8AA4A9C8,1,1,train,1101
PUB-2F8D763ACBF1,1,1,train,1101
PUB-E6CAF5E5CD8C,1,1,train,1101
PUB-3FA7C0635785,1,1,train,1101
PUB-81AB798DF75D,1,1,train,1101
PUB-4FBA4D640EC3,1,1,train,1101
PUB-F26DAC3C1827,1,1,train,1101
PUB-AAFC34D90F6C,1,1,test,1101
PUB-755F533A975E,1,1,test,1101
PUB-5C0136FCC9A1,1,1,test,1101
PUB-853038140981,1,1,train,1101
PUB-71ABEED26D3F,1,1,test,1101
PUB-77D25E27A837,1,1,train,1101
PUB-4D228DE3A499,1,1,test,1101
PUB-5BE09ABCB8BC,1,1,train,1101
PUB-0C65B45112F0,1,1,train,1101
PUB-CA44D543370D,1,1,test,1101
PUB-E01304846BF7,1,1,train,1101
PUB-A7891FBD6E1B,1,1,train,1101
PUB-03B12BDC39CB,1,1,train,1101
PUB-BA46FAB87D8A,1,1,train,1101
PUB-05C51C5C81E5,1,1,train,1101
PUB-D0A8260C5203,1,1,train,1101
PUB-B317299B9ECA,1,1,train,1101
PUB-59991067C242,1,1,train,1101
PUB-F26B84CA189D,1,1,test,1101
PUB-0ABA99468648,1,1,train,1101
PUB-86F81110CB3B,1,1,train,1101
PUB-E77C4842E908,1,1,train,1101
PUB-994848976B5C,1,1,test,1101
PUB-E9C619FC9244,1,1,train,1101
PUB-7AC74F0AD869,1,1,train,1101
PUB-A71992EBBCDA,1,1,train,1101
PUB-F579C00DFA5B,1,1,train,1101
PUB-F4D39C9D924B,1,1,train,1101
PUB-2EB4E6762CAC,1,1,train,1101
PUB-2AC5EF3E51D8,1,1,train,1101
PUB-061451970F7B,1,1,train,1101
PUB-CBB1CA195546,1,2,train,1101
PUB-67C126EADCD7,1,2,train,1101
PUB-AB76135DF9CA,1,2,train,1101
PUB-D2F74CC997B7,1,2,train,1101
PUB-B18F405057BD,1,2,train,1101
PUB-7144C0C3740D,1,2,train,1101
PUB-B1D6B7AD04E8,1,2,train,1101
PUB-DF660348FD1F,1,2,train,1101
PUB-E94A6AB9D82C,1,2,train,1101
PUB-965E9C7134EE,1,2,train,1101
PUB-E352BD93648B,1,2,test,1101
PUB-6CFEE7C39CD0,1,2,test,1101
PUB-AFE69B3708B5,1,2,train,1101
PUB-E2ED1A9687A8,1,2,train,1101
PUB-767A0A64721C,1,2,test,1101
PUB-6697CC655EF0,1,2,train,1101
PUB-EC6103CF4E5D,1,2,train,1101
PUB-893C2162AACA,1,2,train,1101
PUB-F96DD130F433,1,2,train,1101
PUB-4E7F00040F89,1,2,train,1101
PUB-937A79E4882C,1,2,train,1101
PUB-7E9B923FA16C,1,2,train,1101
PUB-99F43A2D73B5,1,2,test,1101
PUB-33D059B371DB,1,2,train,1101
PUB-1AC3EE3C2C72,1,2,train,1101
PUB-811ED9A0464C,1,2,train,1101
PUB-17E5F94DFDB9,1,2,train,1101
PUB-346FE6EE1EBC,1,2,train,1101
PUB-B382B5151288,1,2,train,1101
PUB-7EA6455D87DE,1,2,train,1101
PUB-98B05095E26B,1,2,train,1101
PUB-912CB7F93C34,1,2,train,1101
PUB-776D30B081EF,1,2,train,1101
PUB-1A84FCCBB8FB,1,2,train,1101
PUB-C95058D69119,1,2,train,1101
PUB-9A25206456A5,1,2,train,1101
PUB-5B422CA2FD37,1,2,train,1101
PUB-DA64784182B4,1,2,train,1101
PUB-A552D958F16D,1,2,train,1101
PUB-63FEFC0E3530,1,2,train,1101
PUB-5B0FE2EA3077,1,2,train,1101
PUB-F1FE58694BF5,1,2,test,1101
PUB-6D54A9745F3E,1,2,train,1101
PUB-3BF60A19A235,1,2,train,1101
PUB-4748BE7838E8,1,2,train,1101
PUB-6D79E14F3764,1,2,test,1101
PUB-831563B3C3CC,1,2,train,1101
PUB-75C40A1012BC,1,2,test,1101
PUB-5D47C4F160B1,1,2,test,1101
PUB-1CF33341C088,1,2,test,1101
PUB-D9BABA1AC30F,1,2,test,1101
PUB-4E8DCEF517B4,1,2,test,1101
PUB-E785FC50FDE7,1,2,train,1101
PUB-1AFFD512AE16,1,2,test,1101
PUB-596681F0B1F2,1,2,train,1101
PUB-393DA233E0D2,1,2,train,1101
PUB-20F6B79262CC,1,2,train,1101
PUB-50F821FCE7C2,1,2,train,1101
PUB-97E07F682412,1,2,train,1101
PUB-EEE28E719BBF,1,2,train,1101
PUB-3BFA42775143,1,2,test,1101
PUB-A2424855687F,1,2,test,1101
PUB-2ACD8AA4A9C8,1,2,test,1101
PUB-2F8D763ACBF1,1,2,train,1101
PUB-E6CAF5E5CD8C,1,2,train,1101
PUB-3FA7C0635785,1,2,train,1101
PUB-81AB798DF75D,1,2,test,1101
PUB-4FBA4D640EC3,1,2,train,1101
PUB-F26DAC3C1827,1,2,train,1101
PUB-AAFC34D90F6C,1,2,train,1101
PUB-755F533A975E,1,2,train,1101
PUB-5C0136FCC9A1,1,2,train,1101
PUB-853038140981,1,2,train,1101
PUB-71ABEED26D3F,1,2,train,1101
PUB-77D25E27A837,1,2,train,1101
PUB-4D228DE3A499,1,2,train,1101
PUB-5BE09ABCB8BC,1,2,train,1101
PUB-0C65B45112F0,1,2,train,1101
PUB-CA44D543370D,1,2,train,1101
PUB-E01304846BF7,1,2,train,1101
PUB-A7891FBD6E1B,1,2,train,1101
PUB-03B12BDC39CB,1,2,train,1101
PUB-BA46FAB87D8A,1,2,train,1101
PUB-05C51C5C81E5,1,2,test,1101
PUB-D0A8260C5203,1,2,train,1101
PUB-B317299B9ECA,1,2,test,1101
PUB-59991067C242,1,2,train,1101
PUB-F26B84CA189D,1,2,train,1101
PUB-0ABA99468648,1,2,test,1101
PUB-86F81110CB3B,1,2,train,1101
PUB-E77C4842E908,1,2,train,1101
PUB-994848976B5C,1,2,train,1101
PUB-E9C619FC9244,1,2,train,1101
PUB-7AC74F0AD869,1,2,test,1101
PUB-A71992EBBCDA,1,2,train,1101
PUB-F579C00DFA5B,1,2,train,1101
PUB-F4D39C9D924B,1,2,train,1101
PUB-2EB4E6762CAC,1,2,train,1101
PUB-2AC5EF3E51D8,1,2,train,1101
PUB-061451970F7B,1,2,train,1101
PUB-CBB1CA195546,1,3,test,1101
PUB-67C126EADCD7,1,3,train,1101
PUB-AB76135DF9CA,1,3,train,1101
PUB-D2F74CC997B7,1,3,train,1101
PUB-B18F405057BD,1,3,train,1101
PUB-7144C0C3740D,1,3,train,1101
PUB-B1D6B7AD04E8,1,3,train,1101
PUB-DF660348FD1F,1,3,test,1101
PUB-E94A6AB9D82C,1,3,train,1101
PUB-965E9C7134EE,1,3,train,1101
PUB-E352BD93648B,1,3,train,1101
PUB-6CFEE7C39CD0,1,3,train,1101
PUB-AFE69B3708B5,1,3,test,1101
PUB-E2ED1A9687A8,1,3,test,1101
PUB-767A0A64721C,1,3,train,1101
PUB-6697CC655EF0,1,3,test,1101
PUB-EC6103CF4E5D,1,3,train,1101
PUB-893C2162AACA,1,3,train,1101
PUB-F96DD130F433,1,3,train,1101
PUB-4E7F00040F89,1,3,train,1101
PUB-937A79E4882C,1,3,train,1101
PUB-7E9B923FA16C,1,3,train,1101
PUB-99F43A2D73B5,1,3,train,1101
PUB-33D059B371DB,1,3,train,1101
PUB-1AC3EE3C2C72,1,3,test,1101
PUB-811ED9A0464C,1,3,train,1101
PUB-17E5F94DFDB9,1,3,test,1101
PUB-346FE6EE1EBC,1,3,train,1101
PUB-B382B5151288,1,3,train,1101
PUB-7EA6455D87DE,1,3,train,1101
PUB-98B05095E26B,1,3,test,1101
PUB-912CB7F93C34,1,3,train,1101
PUB-776D30B081EF,1,3,train,1101
PUB-1A84FCCBB8FB,1,3,train,1101
PUB-C95058D69119,1,3,train,1101
PUB-9A25206456A5,1,3,train,1101
PUB-5B422CA2FD37,1,3,test,1101
PUB-DA64784182B4,1,3,train,1101
PUB-A552D958F16D,1,3,test,1101
PUB-63FEFC0E3530,1,3,test,1101
PUB-5B0FE2EA3077,1,3,train,1101
PUB-F1FE58694BF5,1,3,train,1101
PUB-6D54A9745F3E,1,3,train,1101
PUB-3BF60A19A235,1,3,test,1101
PUB-4748BE7838E8,1,3,train,1101
PUB-6D79E14F3764,1,3,train,1101
PUB-831563B3C3CC,1,3,train,1101
PUB-75C40A1012BC,1,3,train,1101
PUB-5D47C4F160B1,1,3,train,1101
PUB-1CF33341C088,1,3,train,1101
PUB-D9BABA1AC30F,1,3,train,1101
PUB-4E8DCEF517B4,1,3,train,1101
PUB-E785FC50FDE7,1,3,train,1101
PUB-1AFFD512AE16,1,3,train,1101
PUB-596681F0B1F2,1,3,train,1101
PUB-393DA233E0D2,1,3,train,1101
PUB-20F6B79262CC,1,3,train,1101
PUB-50F821FCE7C2,1,3,train,1101
PUB-97E07F682412,1,3,test,1101
PUB-EEE28E719BBF,1,3,train,1101
PUB-3BFA42775143,1,3,train,1101
PUB-A2424855687F,1,3,train,1101
PUB-2ACD8AA4A9C8,1,3,train,1101
PUB-2F8D763ACBF1,1,3,train,1101
PUB-E6CAF5E5CD8C,1,3,train,1101
PUB-3FA7C0635785,1,3,test,1101
PUB-81AB798DF75D,1,3,train,1101
PUB-4FBA4D640EC3,1,3,train,1101
PUB-F26DAC3C1827,1,3,train,1101
PUB-AAFC34D90F6C,1,3,train,1101
PUB-755F533A975E,1,3,train,1101
PUB-5C0136FCC9A1,1,3,train,1101
PUB-853038140981,1,3,train,1101
PUB-71ABEED26D3F,1,3,train,1101
PUB-77D25E27A837,1,3,train,1101
PUB-4D228DE3A499,1,3,train,1101
PUB-5BE09ABCB8BC,1,3,train,1101
PUB-0C65B45112F0,1,3,train,1101
PUB-CA44D543370D,1,3,train,1101
PUB-E01304846BF7,1,3,test,1101
PUB-A7891FBD6E1B,1,3,train,1101
PUB-03B12BDC39CB,1,3,test,1101
PUB-BA46FAB87D8A,1,3,train,1101
PUB-05C51C5C81E5,1,3,train,1101
PUB-D0A8260C5203,1,3,test,1101
PUB-B317299B9ECA,1,3,train,1101
PUB-59991067C242,1,3,train,1101
PUB-F26B84CA189D,1,3,train,1101
PUB-0ABA99468648,1,3,train,1101
PUB-86F81110CB3B,1,3,train,1101
PUB-E77C4842E908,1,3,train,1101
PUB-994848976B5C,1,3,train,1101
PUB-E9C619FC9244,1,3,test,1101
PUB-7AC74F0AD869,1,3,train,1101
PUB-A71992EBBCDA,1,3,train,1101
PUB-F579C00DFA5B,1,3,train,1101
PUB-F4D39C9D924B,1,3,train,1101
PUB-2EB4E6762CAC,1,3,test,1101
PUB-2AC5EF3E51D8,1,3,test,1101
PUB-061451970F7B,1,3,train,1101
PUB-CBB1CA195546,1,4,train,1101
PUB-67C126EADCD7,1,4,train,1101
PUB-AB76135DF9CA,1,4,train,1101
PUB-D2F74CC997B7,1,4,test,1101
PUB-B18F405057BD,1,4,train,1101
PUB-7144C0C3740D,1,4,train,1101
PUB-B1D6B7AD04E8,1,4,test,1101
PUB-DF660348FD1F,1,4,train,1101
PUB-E94A6AB9D82C,1,4,train,1101
PUB-965E9C7134EE,1,4,test,1101
