item_id,fold_selection_frequency,proportion_of_25_folds,is_nonformal_scoring_item
Q11,18,0.72,False
Q12,3,0.12,False
Q13,6,0.24,False
Q14,8,0.32,False
Q15,6,0.24,False
Q16,3,0.12,False
Q17,7,0.28,False
Q21,20,0.8,False
Q22,1,0.04,False
Q23,2,0.08,False
Q26,7,0.28,False
Q27,20,0.8,False
Q30,4,0.16,False
Q32,21,0.84,False
Q33,1,0.04,False
Q37,7,0.28,False
Q38,7,0.28,False
Q39,8,0.32,False
Q40,22,0.88,False
Q41,1,0.04,False
Q42,3,0.12,False
Q48,3,0.12,False
Q50,19,0.76,False
Q51,21,0.84,False
Q56,3,0.12,False
Q59,1,0.04,False
Q60,1,0.04,False
Q62,18,0.72,False
Q63,16,0.64,False
Q64,3,0.12,False
Q67,20,0.8,False
Q68,2,0.08,False
Q69,1,0.04,False
Q70,1,0.04,False
Q72,19,0.76,False
Q73,2,0.08,False
Q74,1,0.04,False
Q75,3,0.12,False
Q76,3,0.12,False
Q77,1,0.04,False
Q79,2,0.08,False
Q81,9,0.36,False
Q83,7,0.28,False
Q86,8,0.32,False
Q89,2,0.08,False
Q93,24,0.96,False
Q94,2,0.08,False
Q95,10,0.4,False
Q98,9,0.36,False
Q99,5,0.2,False
Q102,6,0.24,False
Q104,2,0.08,False
Q105,23,0.92,False
Q109,24,0.96,False
Q110,24,0.96,False
Q112,1,0.04,False
Q114,6,0.24,False
Q115,1,0.04,False
Q117,4,0.16,False
Q118,12,0.48,False
Q120,1,0.04,False
Q123,3,0.12,False
Q127,16,0.64,False
Q129,19,0.76,False
Q132,4,0.16,False
Q133,1,0.04,False
Q134,3,0.12,False
Q135,16,0.64,False
Q136,7,0.28,False
Q137,2,0.08,False
Q139,10,0.4,False
Q140,2,0.08,False
Q141,1,0.04,False
Q142,4,0.16,False
Q143,1,0.04,False
Q144,4,0.16,False
Q145,1,0.04,False
Q146,25,1.0,False
Q147,6,0.24,False
Q149,4,0.16,False
Q151,1,0.04,False
Q155,2,0.08,False
Q156,15,0.6,False
Q157,4,0.16,False
Q158,10,0.4,False
Q159,19,0.76,False
Q160,1,0.04,False
Q162,1,0.04,False
Q166,2,0.08,False
Q167,8,0.32,False
Q168,4,0.16,False
Q169,17,0.68,False
Q171,5,0.2,False
Q173,25,1.0,False
Q174,18,0.72,False
Q176,1,0.04,False
Q178,1,0.04,False
Q182,11,0.44,False
Q183,12,0.48,False
Q184,2,0.08,False
Q187,16,0.64,True
