repeat,fold,selected_item_count,item_ids
1,1,32,Q11;Q13;Q15;Q21;Q27;Q40;Q50;Q51;Q62;Q67;Q72;Q81;Q86;Q93;Q98;Q99;Q105;Q109;Q110;Q127;Q129;Q136;Q139;Q144;Q146;Q156;Q158;Q159;Q167;Q169;Q173;Q183
1,2,32,Q11;Q13;Q14;Q21;Q26;Q32;Q39;Q50;Q51;Q56;Q62;Q67;Q72;Q93;Q102;Q105;Q110;Q114;Q118;Q129;Q132;Q136;Q146;Q147;Q158;Q159;Q167;Q169;Q173;Q174;Q184;Q187
1,3,32,Q11;Q21;Q27;Q32;Q40;Q42;Q51;Q62;Q63;Q67;Q93;Q95;Q98;Q104;Q105;Q109;Q110;Q118;Q127;Q135;Q139;Q140;Q146;Q149;Q156;Q158;Q159;Q171;Q173;Q174;Q182;Q187
1,4,32,Q11;Q14;Q21;Q27;Q30;Q32;Q37;Q38;Q40;Q50;Q51;Q67;Q72;Q75;Q83;Q86;Q89;Q93;Q94;Q105;Q109;Q110;Q123;Q127;Q135;Q146;Q156;Q157;Q159;Q167;Q169;Q173
1,5,32,Q11;Q17;Q21;Q32;Q38;Q39;Q40;Q50;Q51;Q62;Q63;Q67;Q76;Q79;Q81;Q93;Q102;Q109;Q110;Q118;Q129;Q134;Q135;Q146;Q147;Q158;Q169;Q171;Q173;Q174;Q183;Q187
2,1,32,Q21;Q23;Q26;Q27;Q32;Q39;Q40;Q50;Q51;Q62;Q63;Q67;Q72;Q93;Q95;Q105;Q109;Q110;Q112;Q118;Q129;Q135;Q139;Q142;Q146;Q149;Q156;Q157;Q159;Q173;Q182;Q187
2,2,32,Q12;Q27;Q30;Q32;Q38;Q39;Q40;Q51;Q62;Q63;Q67;Q72;Q81;Q93;Q95;Q99;Q109;Q110;Q118;Q127;Q129;Q132;Q134;Q135;Q146;Q147;Q167;Q169;Q173;Q174;Q182;Q187
2,3,32,Q11;Q13;Q14;Q21;Q27;Q32;Q37;Q40;Q41;Q50;Q51;Q67;Q83;Q93;Q105;Q109;Q110;Q118;Q123;Q127;Q129;Q136;Q139;Q146;Q156;Q159;Q169;Q171;Q173;Q174;Q182;Q187
2,4,32,Q11;Q13;Q17;Q21;Q32;Q40;Q51;Q59;Q62;Q63;Q72;Q74;Q77;Q81;Q83;Q93;Q94;Q105;Q109;Q110;Q115;Q127;Q129;Q135;Q146;Q147;Q151;Q167;Q169;Q173;Q174;Q183
2,5,32,Q11;Q15;Q17;Q21;Q27;Q32;Q40;Q48;Q50;Q51;Q62;Q63;Q72;Q93;Q95;Q102;Q105;Q109;Q110;Q114;Q117;Q127;Q129;Q136;Q146;Q156;Q158;Q159;Q168;Q173;Q174;Q183
